Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
91,9M4RBF,145.787500,-,0.60000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RBF near Kijal - Bukit Kemuning, None OPEN",,,,
92,9M4RST,147.737500,-,0.60000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RST near GUNUNG TEBU, None OPEN ASTRA Transnasional",,,,
93,9M4RAS,145.925000,-,0.60000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RAS near BUKIT GELIGA, None OPEN ASTRA Transnasional",,,,
94,KLT,145.000000,,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.0,,5.0W,"",,,,6.133
95,9M4RVA,145.675000,-,0.60000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RVA near Kota Bharu, None OPEN",,,,
96,9M4RGT,147.650000,-,0.60000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RGT near Tumpat, None OPEN",,,,
97,9M4RDD,146.637500,-,0.60000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RDD near Pasir Mas, None OPEN",,,,
98,9M4RBP,146.700000,-,0.60000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RBP near Tanah Merah, None OPEN",,,,
99,9M4RTM,146.850000,-,0.60000,Tone,167.9,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RTM near Tanah Merah, None OPEN",,,,
100,9M4RAB,147.712500,-,0.60000,Tone,233.6,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RAB near Bachok, None OPEN",,,,
101,9M4RKH,146.612500,-,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RKH near BUKIT BAKAR, None OPEN",,,,
102,9M4RDF,146.812500,-,0.60000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RDF near GUA MUSANG, None OPEN ASTRA Transnasional",,,,
103,SBH,145.000000,,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.0,,5.0W,"",,,,5.980
104,9M4RBZ,145.087500,+,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RBZ near Sipitang, Sabah, None OPEN",,,,
105,9M4CTR,147.650000,-,0.60000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4CTR near TUARAN, None OPEN",,,,
106,9M4RSW,145.712500,-,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RSW near KOTA KINABALU, None OPEN",,,,
107,9M4RLX,144.225000,+,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RLX near KOTA MARUDU, None OPEN",,,,
108,9M4RBW,146.312500,+,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RBW near BUKIT ANDRASY, None OPEN",,,,
109,9M4RTY,147.237500,+,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RTY near TRIG HILL, SANDAKAN, None OPEN",,,,
110,9M4RLB,147.750000,-,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RLB near GUNUNG KINABALU, None OPEN",,,,
111,9M4RSB,439.150000,-,5.00000,TSQL,203.5,203.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RSB near Kota Kinabalu - Bukit Lawa Mandau, None OPEN MARTS Repeater Linking Network",,,,
112,9M4BHR,147.850000,-,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4BHR near BORNEO HIGHLANDS, None OPEN",,,,
113,9M4RGK,439.850000,-,5.00000,TSQL,203.5,203.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RGK near Ranau - Gunung Kinabalu, None OPEN MARTS Repeater Linking Network",,,,
114,SRK,145.000000,,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.0,,5.0W,"",,,,1.553
115,9M4RHW,147.100000,+,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RHW near THE GRAND OLD LADY, MIRI, None OPEN",,,,
116,9M4RTL,147.950000,-,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RTL near TG LOBANG, MIRI, None OPEN",,,,
117,9M4RGA,147.800000,-,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RGA near GUNUNG AMPUNGAN, SERIAN, None OPEN",,,,
118,9M4REW,439.850000,-,5.00000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4REW near KUCHING - GRAND MARGHERITA HOTEL, None OPEN",,,,
119,9M4RPG,145.775000,-,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RPG near PENAMPANG, None OPEN",,,,
120,9M4RKR,146.025000,+,0.60000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RKR near Kuala rompin, None OPEN",,,,
121,9M4RKR-L,146.625000,-,0.60000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RKR-L near Kuala rompin, None OPEN",,,,
122,9M4RCP,146.662500,-,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RCP near PAPAR, None OPEN",,,,
123,9M4RKT,146.712500,-,0.60000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RKT near Tawau - Kolej Vokasional Tawau, Sabah, None OPEN",,,,
124,9M4RTD,146.750000,-,0.60000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RTD near MARANG, None OPEN",,,,
125,9M4RBH,146.875000,-,1.85000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RBH near Bkt Palong, Baling, Kedah, None OPEN",,,,
126,9M4RKK,146.975000,-,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RKK near TUARAN, None OPEN",,,,
127,9M4RCF,147.612500,-,0.60000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RCF near Bukit Fraser, Pahang, None OPEN",,,,
128,9M4LBP,147.737500,-,0.70000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4LBP near Bkt Tebuan, B Bharu, Kedah, None OPEN",,,,
